link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+814e2402-11a1-4f59-9332-556dd4e23313,KELDON JOHNSON,"Dunk - Jan 5 2021, Base Set (Series 2), SAS",Common,#/12000LE,$70.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+fa00b3e9-ef09-4aa0-9c33-f54fb15ab5dc,LONZO BALL,"Assist - Dec 9 2019, Base Set (Series 1), NOP",Common,#/3999LE,$242.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+e6481a27-3932-46ca-a556-ed2b58c28b80,GEORGE HILL,"Steal - Nov 8 2019, Base Set (Series 1), MIL",Common,#/2486LE,$118.00
https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+48cb4c30-4497-46bc-9afb-f417d26a4493,JIMMY BUTLER,"Layup - Jan 4 2021, Metallic Gold LE (Series 2), MIA",Rare,#/499LE,"$1,035.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+dcf97c17-1828-41a2-857d-c959e7ee6f40,DANIEL THEIS,"Block - Sep 15 2020, Base Set (Series 1), BOS",Common,#/2500LE,$109.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+664c3a1c-13f2-4921-af13-b6b8400a3cae,TROY BROWN JR.,"Block - Jan 9 2021, Base Set (Series 2), WAS",Common,#/15000LE,$14.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+ffe420ae-a89c-4c21-b080-086172c5277d,RUDY GAY,"Dunk - Jan 12 2020, Base Set (Series 1), SAS",Common,#/3999LE,$105.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+72202871-60ae-43a1-8f06-577cea587c55,MAXI KLEBER,"3 Pointer - Jan 7 2021, Base Set (Series 2), DAL",Common,#/15000LE,$13.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+99b9e3af-de96-499d-aa05-57dc7216dfe7,KAWHI LEONARD,"3 Pointer - Jan 10 2021, Base Set (Series 2), LAC",Common,#/15000LE,$75.00
https://www.nbatopshot.com/listings/p2p/28eddc41-6a11-4ff8-8ec6-15041aa01e80+07aa5576-e210-4ec2-81a0-c7405e65a4de,KEVIN HUERTER,"Assist - Jan 8 2020, Early Adopters (Series 1), ATL",Common,#/1325LE,$370.00
https://www.nbatopshot.com/listings/p2p/ad8e85a4-2240-4604-95f6-be826966d988+6fa60eb1-d1c3-4d4c-952c-fde0136e4c83,TOBIAS HARRIS,"Dunk - Jan 2 2021, Cool Cats (Series 2), PHI",Common,#/5000LE,$209.00
